title,height,width,year,drawingMaterial,support,price,sold,series,catalogueNumber,description
PCS Assunpink Tree,4.5,6,1995,pastel,paper,210,,Field and Lakes,55,
PCS Farm Field 2,4.5,6,1995,pastel,paper,210,,Field and Lakes,47,
PCS Farm Field 3,4.5,6,1995,pastel,paper,210,,Field and Lakes,46,
PCS Farm Field 4,4.5,6,1995,pastel,paper,210,,Field and Lakes,48,
PCS Farm Field 5,4.5,6,1995,pastel,paper,210,,Field and Lakes,49,
PCS Farm Field 7,4.5,6,1995,pastel,paper,210,,Field and Lakes,45,
PCS Farm Field 8,4.5,6,1995,pastel,paper,210,,Field and Lakes,52,
PCS Farm Gate,5,6,1995,pastel,paper,210,,Field and Lakes,44,
PCS Farm Road ,4.5,6,1995,pastel,paper,210,,Field and Lakes,41,
PCS Farm Road 2,4.5,6,1995,pastel,paper,210,,Field and Lakes,47,
PCS Farm Road 3,6,5,1995,pastel,paper,210,,Field and Lakes,43,
PCS Fishing Camp Fall,4.5,6.5,1996,pastel,paper,210,,Field and Lakes,112,
PCS Fishing Camp Fall 2,5,6,1995,pastel,paper,210,,Field and Lakes,,
PCS Organic Farm Stand,4.5,6,1995,pastel,paper,210,,Field and Lakes,62,
PCS Summer Camp Bridge,4.5,6,1996,pastel,paper,210,,Field and Lakes,,
Pennsylvania Fishing Camp,10,13,1998,pastel,paper,325,,Field and Lakes,294,
River Reflections 1,7,10,2012,pastel,paper,400,,Field and Lakes,446,
River Reflections 2,7,10,2012,pastel,paper,400,,Field and Lakes,447,
"Roosevelt Field, Sunrise",4.5,6,2009,Watercolor,Paper,210,,Field and Lakes,,
San Antonio Aqueduct,24,15.5,2016,Acrylic,canvas,1000,,Field and Lakes,,
"Spillway, Allaire State Park",14,11,2001,pastel,paper,400,,Field and Lakes,298,
St Mary's Co. Barn,8,10,1976,Watercolor,paper,210,,Field and Lakes,,
Stone Tavern Lake Morning,8,10,2008,Watercolor,Paper,210,,Field and Lakes,,
Stone Tavern Lake Morning 2,8,10,2009,Watercolor,Paper,210,,Field and Lakes,,
Summer Camp,9,13,2008,Acrylic,paper,,,Field and Lakes,,
Summer Greens,11,14,2015,pastel,paper,400,,Field and Lakes,,
"Sunrise, Stone Tavern Lake 2",8,10,2009,Watercolor,Paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 I",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 II",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 III",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 IV",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 IX",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 V",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 VI",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 VII",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 VIII",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 X",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 XI",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 XII",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 XIII",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 XIV",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 XIX",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
"Sunrise, Sunset 2008 XV",8,10,2008,Watercolor,paper,210,,Field and Lakes,,
Swimming Area Boundries,7,9,2008,Acrylic,canvas,,,Field and Lakes,,
"Terhune Orchard, Apple Trees",12,16,2017,Acrylic,canvas,500,,Field and Lakes,,
"Terhune Orchard, Cherries",12,16,2017,Acrylic,canvas,500,,Field and Lakes,,
The Lake at Ocky,8,10,2008,Acrylic,paper,,,Field and Lakes,,
A Walk in the Woods,11,14,0,Acrylic,canvas,,TRUE,Forest Path,,
AT Path,16,12,2020,Acrylic,canvas,500,,Forest Path,,
Autumn Reflections,10,10,2019,Acrylic,canvas,,TRUE,Forest Path,,
Dancing Stream,16,12,2020,Acrylic,canvas,500,,Forest Path,,
Deer in the Woods,10,8,2012,pastel,paper,250,,Forest Path,,
"Delaware Water Gap, Fall Woods",11,14,2016,Watercolor,paper,,TRUE,Forest Path,,
"Delaware Water Gap, Stream 2",18,24,0,Acrylic,canvas,1000,,Forest Path,,
Emerald Pool Plein Aire,11,14,2016,Watercolor,paper,400,,Forest Path,,
Fall Ferns,12,16,2020,Acrylic,canvas,500,,Forest Path,,
Fall Mountain Stream,11,14,2016,Watercolor,paper,400,,Forest Path,,
Forest Bathing,11,14,2014,Acrylic,canvas,400,,Forest Path,,
Grid Landscape,8,10,2013,Watercolor,paper,,TRUE,Forest Path,,
Hiking in the Mountains,8,10,2011,Watercolor,paper,210,,Forest Path,,
Mending Walls,8,10,2015,Acrylic,canvas,250,,Forest Path,,
Mike's Waterfall on the AT,10.5,13.5,2020,Mono print,paper,400,,Forest Path,,
Moss NH,10,10,2019,Acrylic,canvas,260,,Forest Path,,
Mountain Falls,8,10,2018,Acrylic,canvas,250,,Forest Path,,
My November Guest,8,10,2015,Acrylic,canvas,250,,Forest Path,,
New Jersey Stream,10,13,2000,pastel,paper,325,,Forest Path,190,
New Jersey Trout Stream 1,11,14,2000,pastel,paper,400,,Forest Path,,
NJ Trout Stream 2,20,16,1998,Pastel,Paper,500,,Forest Path,,
NJ Trout Stream 3,16,20,1998,pastel,paper,800,,Forest Path,309,
NJ Woods,11,14,2001,pastel,paper,400,,Forest Path,213,
North NJ Trout Stream Bridge,16,20,2000,pastel,paper,800,,Forest Path,293,
North NJ Trout Stream Bridge 2,11,14,2000,pastel,paper,400,,Forest Path,,
Path to Emerald Pool 2,12,16,2019,Acrylic,canvas,500,,Forest Path,,
PCS Red Woods,4.5,6.5,1997,pastel,paper,,TRUE,Forest Path,109,
Printed Landscape,11,14,1986,Print,Paper,400,,Forest Path,,
Roosevelt Trail,11,14,2016,Acrylic,canvas,,TRUE,Forest Path,,
